name,tag,market
Reliance Industries Limited,RELIANCE.NS,NSE
Tata Consultancy Services Limited,TCS.NS,NSE
HDFC Bank Limited,HDFCBANK.NS,NSE
ICICI Bank Limited,ICICIBANK.NS,NSE
Bharti Airtel Limited,BHARTIARTL.NS,NSE
State Bank of India,SBIN.NS,NSE
Infosys Limited,INFY.NS,NSE
Life Insurance Corporation Of India,LICI.NS,NSE
ITC Limited,ITC.NS,NSE
Hindustan Unilever Limited,HINDUNILVR.NS,NSE
Larsen & Toubro Limited,LT.NS,NSE
Bajaj Finance Limited,BAJFINANCE.NS,NSE
HCL Technologies Limited,HCLTECH.NS,NSE
Maruti Suzuki India Limited,MARUTI.NS,NSE
Sun Pharmaceutical Industries Limited,SUNPHARMA.NS,NSE
Adani Enterprises Limited,ADANIENT.NS,NSE
Kotak Mahindra Bank Limited,KOTAKBANK.NS,NSE
Titan Company Limited,TITAN.NS,NSE
Oil & Natural Gas Corporation Limited,ONGC.NS,NSE
Tata Motors Limited,TATAMOTORS.NS,NSE
NTPC Limited,NTPC.NS,NSE
Axis Bank Limited,AXISBANK.NS,NSE
Avenue Supermarts Limited,DMART.NS,NSE
Adani Green Energy Limited,ADANIGREEN.NS,NSE
Adani Ports and Special Economic Zone Limited,ADANIPORTS.NS,NSE
UltraTech Cement Limited,ULTRACEMCO.NS,NSE
Asian Paints Limited,ASIANPAINT.NS,NSE
Coal India Limited,COALINDIA.NS,NSE
Bajaj Finserv Limited,BAJAJFINSV.NS,NSE
Bajaj Auto Limited,BAJAJ-AUTO.NS,NSE
Power Grid Corporation of India Limited,POWERGRID.NS,NSE
Nestle India Limited,NESTLEIND.NS,NSE
Wipro Limited,WIPRO.NS,NSE
Mahindra & Mahindra Limited,M&M.NS,NSE
Indian Oil Corporation Limited,IOC.NS,NSE
Jio Financial Services Limited,JIOFIN.NS,NSE
Hindustan Aeronautics Limited,HAL.NS,NSE
DLF Limited,DLF.NS,NSE
Adani Power Limited,ADANIPOWER.NS,NSE
JSW Steel Limited,JSWSTEEL.NS,NSE
Tata Steel Limited,TATASTEEL.NS,NSE
Siemens Limited,SIEMENS.NS,NSE
Indian Railway Finance Corporation Limited,IRFC.NS,NSE
Varun Beverages Limited,VBL.NS,NSE
Zomato Limited,ZOMATO.NS,NSE
Pidilite Industries Limited,PIDILITIND.NS,NSE
Grasim Industries Limited,GRASIM.NS,NSE
SBI Life Insurance Company Limited,SBILIFE.NS,NSE
Bharat Electronics Limited,BEL.NS,NSE
LTIMindtree Limited,LTIM.NS,NSE
Trent Limited,TRENT.NS,NSE
Punjab National Bank,PNB.NS,NSE
InterGlobe Aviation Limited,INDIGO.NS,NSE
Bank of Baroda,BANKBARODA.NS,NSE
HDFC Life Insurance Company Limited,HDFCLIFE.NS,NSE
ABB India Limited,ABB.NS,NSE
Bharat Petroleum Corporation Limited,BPCL.NS,NSE
